Column_1,Column_2,Column_3,Column_4,Column_5
47,30,55,24,26
72,27,29,48,57
87,44,49,95,18
72,83,42,57,12
77,96,97,74,2
90,26,37,95,58
90,14,26,1,65
46,76,17,94,96
78,86,98,31,20
98,37,34,35,74
18,13,79,34,79
95,16,33,64,26
83,57,86,94,96
8,49,50,78,85
35,86,15,70,59
60,52,40,60,13
93,76,76,85,81
97,18,11,46,56
91,81,26,45,70
78,37,42,91,6
82,89,58,88,19
60,62,56,5,1
17,63,97,3,66
12,86,63,63,66
63,96,20,21,12
3,77,72,55,54
55,31,12,61,30
40,85,54,88,24
64,91,94,60,68
8,86,94,77,14
54,79,63,15,92
6,53,13,16,23
56,72,52,99,71
84,79,2,20,40
73,16,82,27,98
16,2,96,97,96
9,73,45,19,38
77,19,42,92,84
41,10,78,27,48
27,83,33,57,48
94,79,99,2,12
69,22,26,73,85
94,68,37,21,67
14,65,71,93,80
2,48,4,81,12
34,1,97,91,28
81,47,78,95,67
91,88,86,89,59
90,14,6,96,82
72,89,58,62,80
95,2,45,12,17
83,90,28,86,16
63,76,78,86,98
65,77,69,9,17
72,19,74,9,96
44,98,27,5,24
91,45,25,15,61
72,9,80,50,56
36,36,69,22,58
26,79,93,33,73
57,73,50,49,21
11,58,83,55,28
40,85,88,45,67
43,2,36,32,56
29,3,31,20,93
36,94,47,63,28
97,93,29,41,76
37,40,6,52,16
90,53,15,19,11
39,48,34,2,38
73,42,30,22,78
72,99,59,75,80
72,99,28,62,68
12,96,31,44,82
18,68,1,73,75
6,5,56,49,69
93,13,16,29,21
75,24,6,92,46
76,2,80,35,7
88,46,32,49,87
36,42,77,4,52
13,63,17,39,31
99,6,70,18,61
38,17,55,10,13
52,29,69,23,34
61,83,68,31,77
11,81,59,89,34
2,14,80,76,64
55,46,51,6,81
65,42,56,4,58
67,16,21,74,64
86,77,80,87,88
77,53,75,33,22
48,59,86,73,77
77,61,1,37,32
50,36,68,26,98
50,92,98,27,67
75,20,35,84,95
25,85,87,41,91
11,45,84,12,80
86,79,60,15,89
73,85,74,87,84
61,76,92,16,87
86,58,97,64,84
72,18,1,37,76
71,80,78,12,80
34,50,90,21,47
53,56,67,90,47
29,58,18,69,10
93,44,96,97,90
23,53,21,69,29
37,47,92,14,57
71,24,82,8,15
35,38,74,4,85
41,78,66,5,45
40,20,31,49,42
61,27,80,46,51
54,10,87,57,8
45,84,78,15,31
29,75,58,5,31
36,99,53,51,40
89,89,70,40,26
9,77,23,83,40
10,43,25,52,22
5,22,1,56,1
44,92,30,31,7
21,43,57,65,88
53,14,96,81,24
70,31,19,23,63
55,90,70,49,67
66,77,90,79,74
89,97,74,23,46
51,2,51,96,77
24,62,15,85,51
45,13,42,87,58
48,41,50,60,11
96,44,86,5,47
9,23,36,48,98
16,59,80,44,48
91,63,48,44,23
40,70,98,10,99
23,64,55,32,61
24,5,50,82,11
42,18,7,29,74
53,23,72,54,70
33,72,59,40,56
66,34,39,82,78
95,48,65,61,7
36,35,28,40,84
82,5,59,7,10
74,12,92,95,37
91,97,80,95,27
96,85,74,18,95
95,47,24,7,11
10,25,97,65,38
55,97,31,66,97
95,4,30,39,35
69,76,64,75,20
75,29,97,55,20
94,41,63,55,18
96,6,41,39,16
33,70,93,50,13
93,54,16,17,85
78,60,85,85,61
34,1,53,8,49
71,51,71,20,46
2,35,27,82,15
47,95,75,95,81
69,26,82,50,50
86,13,99,85,98
8,45,23,95,74
76,90,88,96,57
3,3,7,85,59
49,65,58,75,11
74,52,61,16,15
22,60,94,36,13
65,94,25,2,94
99,95,83,57,24
19,86,55,45,73
36,46,12,84,32
84,60,11,86,92
17,11,22,79,97
9,3,23,50,70
69,74,56,3,67
40,90,93,31,26
19,43,75,74,60
92,84,77,48,15
56,39,19,18,71
65,63,20,62,45
97,21,85,99,41
94,76,76,97,85
16,10,51,14,41
56,59,19,29,46
68,30,22,88,75
69,5,90,8,34
48,62,7,64,28
84,35,44,83,2
15,40,87,16,50
37,11,60,66,84
8,35,39,76,70
27,60,84,22,59
90,21,46,57,87
48,11,6,81,42
51,38,11,96,98
46,1,32,85,73
2,17,95,65,78
55,33,24,86,45
30,2,11,32,45
63,61,14,19,39
86,53,87,21,54
46,98,72,39,35
42,87,18,10,93
52,88,86,25,17
13,92,81,10,26
24,72,79,61,37
14,97,14,43,11
57,55,53,44,77
35,20,23,92,5
6,94,13,96,35
19,70,76,82,28
52,62,42,16,21
95,54,47,57,9
55,18,86,67,38
97,83,54,87,76
70,58,5,89,39
77,41,88,32,20
38,91,2,99,95
14,36,37,80,49
56,46,5,83,49
12,45,54,96,11
35,80,23,39,81
29,57,91,24,48
39,32,93,17,16
16,74,78,25,14
30,6,79,42,89
45,18,15,35,90
37,77,88,21,97
81,93,8,11,77
44,87,53,84,61
31,63,7,54,13
35,14,65,46,15
75,78,65,59,6
42,6,83,21,33
75,62,18,89,39
84,11,40,43,57
94,75,64,82,6
45,52,49,74,48
19,48,45,16,24
18,12,61,78,60
27,28,46,20,7
75,1,30,58,78
88,11,6,82,3
54,9,59,96,86
86,88,17,15,19
6,38,92,42,30
59,37,74,15,14
57,53,93,98,22
87,90,75,40,31
89,60,20,81,8
45,58,89,41,42
77,35,55,38,21
71,34,50,60,81
56,72,13,61,31
58,94,48,30,38
40,76,34,60,5
84,52,85,96,18
67,20,59,42,74
42,97,22,53,78
14,39,46,86,72
67,15,4,94,64
13,42,38,68,40
29,88,61,84,68
48,32,92,60,34
27,94,73,70,4
81,4,50,59,88
96,52,76,93,24
75,80,75,63,26
99,22,70,6,68
82,48,95,75,44
12,33,36,48,52
19,4,46,46,32
36,56,63,57,84
59,96,82,37,78
98,66,33,48,56
30,78,60,64,80
33,42,56,36,27
91,73,20,10,1
83,61,18,95,97
29,88,65,10,71
70,34,63,22,34
51,12,31,33,45
8,22,14,86,41
96,94,47,86,42
73,55,14,44,44
5,10,33,34,88
26,25,43,55,33
24,64,71,80,84
97,27,86,48,5
47,56,58,10,62
77,94,37,77,15
62,6,92,83,61
32,88,18,37,90
40,80,56,46,57
86,21,48,25,37
32,21,77,5,64
37,11,46,99,43
96,72,20,62,37
66,23,71,10,12
12,64,39,59,49
45,37,53,86,13
73,79,36,84,86
25,13,15,90,81
38,83,12,70,80
15,25,25,70,28
49,11,85,83,92
97,77,36,93,58
30,4,42,18,56
68,70,72,73,80
74,37,93,39,33
47,67,77,2,9
19,75,32,8,70
79,47,65,29,94
74,69,59,79,55
16,55,54,98,24
58,42,33,60,2
71,57,21,70,12
68,15,41,48,10
22,20,47,39,20
77,93,42,57,30
23,73,1,82,24
92,33,82,64,81
21,26,29,46,20
38,64,25,67,68
47,68,16,65,86
49,78,48,19,95
85,92,37,29,2
52,63,25,20,20
48,76,2,34,12
78,31,75,67,24
61,19,32,69,91
20,95,14,21,6
67,36,85,61,91
66,16,11,70,68
86,42,2,89,9
14,52,98,46,64
96,39,4,80,49
70,10,70,2,53
46,48,83,87,74
73,70,18,48,71
43,65,44,40,92
77,63,89,99,83
46,52,32,98,22
79,39,60,61,17
79,7,94,71,26
11,99,10,45,16
29,32,15,23,58
46,71,93,47,71
10,72,72,91,79
61,61,96,39,74
47,54,37,33,68
47,29,26,73,40
16,73,44,4,13
92,71,39,50,36
28,24,27,73,20
80,91,10,8,12
52,48,43,23,85
69,82,45,17,75
67,1,22,4,58
35,79,31,27,87
28,19,72,58,61
35,50,30,86,82
32,53,44,79,65
23,79,22,37,41
79,10,75,64,73
65,44,91,17,48
98,99,13,94,75
53,70,32,27,80
79,35,75,27,64
13,81,78,36,59
33,55,16,70,35
72,59,82,70,88
74,84,97,87,96
47,70,4,77,6
48,60,98,8,59
2,90,93,75,9
86,42,95,96,18
80,34,21,25,69
13,82,60,35,38
23,24,34,47,68
91,37,90,40,13
29,1,99,90,95
69,48,63,89,99
60,23,54,59,3
91,64,82,54,84
43,11,53,43,16
33,89,28,71,40
4,9,60,78,51
75,27,83,58,37
9,2,59,33,75
19,34,87,26,54
44,77,85,12,56
25,36,97,89,78
30,14,5,23,36
83,12,54,74,73
74,60,25,53,89
23,40,41,98,5
80,73,46,99,54
2,45,42,42,59
95,42,28,47,81
75,69,57,41,61
41,88,59,30,97
21,36,98,88,98
13,64,10,96,98
65,78,38,43,65
35,47,97,35,92
26,87,37,29,79
1,8,28,12,51
65,57,62,65,64
32,87,7,88,14
8,95,44,83,77
99,50,51,86,32
74,56,70,99,29
93,42,79,73,91
59,74,87,2,88
49,42,70,95,35
70,60,30,55,72
62,25,95,51,32
22,62,27,65,72
94,93,69,87,65
69,84,85,50,71
40,9,6,34,20
96,21,74,84,89
99,61,62,63,44
58,79,52,38,31
86,13,5,55,68
49,60,13,9,68
2,59,34,47,92
79,76,96,98,81
56,86,62,97,33
81,24,95,2,1
64,35,80,25,91
28,53,52,13,41
99,80,6,42,93
12,24,30,3,93
98,84,18,2,97
75,32,13,13,24
84,78,78,23,46
59,86,43,2,30
33,74,18,40,60
27,70,53,49,51
27,61,26,18,73
5,53,10,85,36
72,45,62,68,50
46,56,41,57,74
98,39,23,99,73
50,56,24,21,74
24,41,98,6,55
81,68,61,19,43
59,20,38,10,40
51,94,44,16,71
18,25,63,8,21
21,59,99,58,87
44,11,73,40,35
96,95,48,28,22
13,75,65,48,76
44,14,50,4,46
61,22,60,30,56
27,69,55,72,97
88,61,6,89,64
39,19,2,41,50
51,32,9,43,47
8,69,73,27,50
84,49,17,18,25
2,22,90,20,3
80,5,46,37,33
48,74,32,95,44
85,30,28,61,90
68,76,50,48,90
39,96,43,81,87
41,40,2,2,86
69,79,30,85,6
11,82,35,91,81
4,45,51,42,31
36,93,88,73,76
45,97,13,62,52
33,74,12,7,83
67,18,34,75,27
67,19,74,64,67
1,4,14,70,59
65,31,8,96,87
1,12,72,50,32
47,15,47,33,53
51,55,50,84,44
71,11,6,95,46
9,37,49,74,46
40,2,16,38,41
59,91,72,78,46
56,91,43,81,96
80,57,83,63,1
67,12,28,61,95
58,52,62,91,23
16,24,29,27,34
14,53,4,41,25
75,20,73,3,80
59,34,18,53,69
61,43,67,94,23
47,82,78,80,20
76,9,20,85,10
31,20,2,19,22
58,14,2,58,52
72,39,47,17,42
80,72,52,75,15
54,58,75,14,48
6,3,49,11,82
78,5,70,26,8
76,69,87,95,97
41,81,82,28,85
62,5,28,19,4
79,98,10,26,15
15,84,10,40,74
53,39,4,27,71
99,39,45,15,56
47,73,65,61,25
99,46,11,57,79
91,54,26,96,28
88,52,76,4,77
43,65,99,63,27
99,31,32,98,93
21,45,44,80,97
85,8,25,58,45
42,82,39,51,3
5,67,94,99,47
67,62,20,65,92
50,27,13,64,90
11,59,87,41,70
48,35,70,64,28
68,45,67,28,20
74,90,86,41,29
99,28,98,66,2
29,16,27,8,21
5,89,43,20,31
18,74,31,11,51
78,15,66,22,2
55,81,71,41,5
54,2,73,4,69
18,68,5,66,84
42,74,11,50,61
25,85,51,82,3
22,53,99,47,28
43,31,5,97,51
74,34,63,59,57
38,25,52,97,54
41,63,25,83,20
12,32,42,29,37
6,18,63,76,80
8,1,53,53,22
36,33,50,45,61
7,82,95,89,20
60,70,4,7,70
78,14,25,53,81
90,65,6,83,92
64,74,36,20,45
19,82,81,7,62
22,11,95,23,21
97,93,8,81,86
12,34,93,1,98
84,58,38,70,72
41,53,34,11,39
56,77,10,20,3
33,34,73,25,86
73,63,72,11,59
67,52,12,78,11
61,37,30,79,34
86,51,92,89,56
28,8,88,86,64
55,60,43,93,55
82,49,10,58,66
62,51,42,48,9
90,90,84,90,16
37,21,70,52,39
34,4,3,10,48
5,40,81,19,58
25,9,54,88,88
11,30,54,63,65
13,30,25,50,21
62,68,13,72,13
55,20,29,28,46
35,16,32,20,30
56,26,98,96,39
74,47,15,2,48
62,98,81,62,55
61,37,96,58,14
10,50,96,67,1
61,70,24,21,56
67,10,43,9,97
37,96,90,62,9
79,35,83,33,76
72,85,87,34,84
52,85,98,65,40
8,36,46,14,44
50,77,88,87,57
79,1,64,42,88
45,77,20,25,51
9,83,41,53,32
96,6,27,73,59
78,15,1,2,67
13,70,18,35,99
31,26,30,19,4
13,60,12,65,94
1,44,81,36,65
19,46,96,34,87
16,84,22,10,41
64,72,63,97,96
74,22,82,65,72
48,83,77,53,73
37,20,22,52,88
67,8,53,79,37
65,6,85,56,43
18,10,31,26,54
93,9,40,63,9
28,16,5,68,50
94,62,28,89,30
83,42,71,29,44
3,60,30,14,95
63,36,25,39,41
93,42,32,33,28
69,84,49,49,30
7,24,80,80,75
44,53,22,46,83
58,39,86,18,87
6,12,52,73,40
56,94,31,40,97
86,81,57,16,76
75,96,84,36,13
22,35,83,10,39
76,18,8,34,45
3,35,56,55,91
67,65,60,28,79
16,27,17,44,9
30,58,19,22,87
95,15,44,37,81
24,21,20,34,54
75,43,37,1,76
47,12,37,49,8
6,94,16,13,65
79,28,85,47,72
63,35,67,93,47
75,87,75,51,50
47,82,58,60,74
6,94,75,83,4
19,98,22,26,48
88,72,87,38,42
10,43,38,57,27
47,38,60,45,16
14,13,40,29,49
70,25,82,88,22
55,3,4,84,84
9,46,28,43,20
44,45,16,77,51
80,20,84,97,21
99,72,52,45,19
81,23,37,96,43
39,93,24,24,24
60,84,24,86,78
66,42,13,55,62
71,30,82,64,39
26,79,17,44,65
97,89,70,37,89
89,47,10,61,73
18,26,23,9,13
76,52,15,25,66
49,36,14,68,84
17,9,39,75,31
25,65,29,10,57
46,18,4,12,55
24,68,24,29,94
3,20,98,60,70
58,52,11,99,80
48,38,62,44,37
91,41,36,63,58
96,7,13,5,69
49,63,28,82,5
73,13,26,90,41
3,72,23,90,48
72,34,34,65,13
98,57,10,27,29
39,66,2,64,99
84,93,28,33,96
44,67,92,74,44
45,56,21,27,48
25,25,11,51,39
81,24,86,29,92
36,98,28,37,91
22,37,56,53,30
5,10,74,51,82
75,84,10,67,58
6,21,90,84,74
20,47,97,73,86
56,97,39,92,75
28,96,15,41,76
39,36,69,38,21
40,85,43,55,39
89,30,82,83,10
16,61,76,48,50
12,4,53,2,78
46,3,8,21,28
33,52,74,30,41
6,28,46,58,60
31,43,85,19,75
39,75,15,73,70
90,81,55,30,58
68,48,68,99,10
67,69,61,5,45
83,52,28,15,92
16,12,9,25,78
26,41,28,78,69
27,31,2,63,50
52,32,5,19,41
41,78,80,24,8
51,46,80,48,60
65,97,39,23,81
88,47,26,50,55
96,33,57,19,71
58,31,49,72,63
56,40,51,21,75
96,73,50,77,27
64,78,55,35,30
27,82,15,92,28
52,22,17,15,91
34,11,77,73,80
98,75,87,80,62
95,35,1,32,96
42,63,13,43,53
13,72,38,44,14
31,93,39,92,98
71,84,27,16,71
91,62,66,45,75
7,97,76,69,46
5,86,53,13,65
15,79,14,19,29
40,94,6,45,42
24,79,71,80,91
31,36,30,72,98
38,4,11,15,99
38,84,80,24,21
59,93,76,67,53
20,6,45,41,96
26,90,13,92,70
21,61,30,30,93
92,83,46,20,46
64,24,75,98,89
23,93,9,41,76
88,6,82,86,68
84,22,95,63,67
26,48,8,60,53
31,98,63,96,66
15,81,24,90,8
7,16,58,47,20
46,16,64,79,4
51,32,62,19,76
54,85,64,29,37
65,28,25,85,29
51,74,83,76,90
47,29,9,97,51
30,43,95,22,49
4,56,38,13,94
3,28,23,57,29
29,98,30,34,86
78,82,79,5,79
5,33,14,16,89
15,73,23,46,41
9,6,54,54,9
11,84,96,71,85
43,92,70,81,36
97,12,29,2,16
78,57,73,80,22
72,27,32,77,25
79,75,33,70,65
58,63,98,98,61
1,26,53,22,4
54,1,28,34,58
54,19,80,85,56
30,32,4,79,65
60,89,16,90,20
9,90,15,34,58
76,85,68,70,54
50,4,27,43,31
76,35,50,89,5
39,67,8,89,34
12,58,35,38,77
54,5,9,41,62
37,58,45,16,52
91,34,12,57,31
49,15,20,80,77
79,1,77,64,87
19,97,98,67,2
70,50,18,6,30
80,75,60,64,97
46,50,7,22,25
88,33,12,58,12
96,76,8,14,81
38,31,13,95,69
88,99,27,83,20
95,27,97,64,37
79,84,42,63,81
94,36,6,38,37
58,58,3,33,52
58,59,94,4,44
61,12,81,93,41
31,8,82,62,19
89,63,76,44,6
41,85,71,71,20
64,37,17,80,53
71,69,84,66,30
12,5,53,1,60
12,94,38,23,72
79,80,42,33,58
21,76,65,86,54
77,13,81,18,93
34,46,75,20,44
98,95,28,71,65
81,39,29,6,33
25,19,97,14,60
58,70,5,55,26
58,98,60,51,68
48,36,10,65,74
92,85,15,39,56
93,39,40,49,53
7,64,28,72,69
49,41,45,30,82
90,68,27,43,39
31,83,25,79,19
38,24,51,16,31
90,42,40,59,95
19,41,53,46,20
31,83,1,66,98
31,97,94,28,33
72,57,47,51,86
32,32,61,46,68
44,68,34,49,81
2,11,8,23,71
91,34,93,12,66
24,41,45,51,15
13,84,15,31,33
32,95,74,84,14
7,44,32,63,92
35,36,61,80,12
89,62,37,92,73
32,41,80,82,2
23,35,97,26,4
74,97,3,64,83
12,22,89,99,65
87,3,55,61,5
39,12,96,19,54
17,79,82,61,2
75,33,53,20,43
13,13,57,43,65
39,79,81,81,42
99,71,61,51,5
57,82,89,98,71
86,13,64,34,98
61,78,71,98,75
54,56,92,9,96
70,73,42,66,92
24,36,59,52,42
21,68,6,20,40
40,85,77,94,69
4,95,47,73,30
50,78,71,75,25
94,97,5,60,51
2,87,72,82,48
75,46,59,86,45
29,88,71,57,23
20,4,90,15,24
92,10,52,91,95
76,48,29,93,85
18,81,30,74,44
68,39,27,73,31
81,38,73,39,32
8,32,45,41,29
52,52,50,71,10
6,24,23,84,37
29,11,67,65,45
20,98,3,62,21
33,97,99,10,49
85,65,54,96,55
18,20,42,32,55
3,96,99,34,57
26,15,11,93,43
94,40,83,17,50
47,12,58,72,3
13,3,29,18,54
24,78,86,53,41
11,54,5,85,14
78,61,96,97,24
1,83,99,51,57
50,37,69,40,88
70,47,2,50,47
10,66,82,45,89
63,28,50,89,92
41,50,15,43,20
17,23,48,85,20
43,11,51,21,46
37,26,41,66,18
88,58,85,36,88
18,56,40,18,3
7,28,93,10,32
35,38,31,33,22
17,94,13,22,86
16,52,34,9,34
41,20,13,74,94
28,6,89,39,84
33,29,27,37,37
52,43,27,21,94
72,19,70,36,8
66,98,2,80,73
19,46,58,35,47
10,90,96,81,25
96,50,81,56,43
95,64,72,84,56
92,45,20,96,68
91,29,16,34,96
50,88,16,6,94
20,73,67,7,77
18,45,64,13,14
63,25,58,60,29
84,25,16,66,42
48,72,14,20,29
95,72,78,28,41
90,96,76,82,26
51,63,88,48,63
17,72,33,7,17
78,3,51,47,13
70,20,2,95,22
11,77,27,21,39
41,46,59,51,14
12,17,69,30,34
45,25,64,47,20
15,57,18,18,70
21,97,70,57,57
76,77,25,19,78
45,76,72,76,13
88,1,74,69,28
95,17,79,55,11
39,79,14,68,34
58,48,5,22,35
95,74,87,59,8
96,73,75,1,79
79,17,17,68,18
18,1,9,91,12
34,64,84,81,15
48,79,36,44,53
48,35,93,50,40
33,81,67,34,18
63,44,59,4,15
18,30,90,63,37
1,20,70,40,95
26,45,8,56,78
2,35,69,70,64
11,13,61,72,33
88,46,83,85,53
63,41,89,39,22
83,71,76,54,4
84,16,84,4,6
21,88,25,34,37
78,29,46,88,62
44,68,28,9,25
77,50,8,96,63
16,47,94,39,40
14,97,55,22,55
92,73,41,29,1
59,29,37,45,16
23,34,72,68,53
25,52,83,16,82
29,36,4,21,75
6,79,27,27,6
1,96,98,36,45
92,9,76,76,81
61,98,85,74,97
23,66,25,58,7
26,5,48,49,21
45,7,74,94,19
35,20,61,96,3
21,52,14,24,62
89,51,98,25,72
87,8,51,25,15
15,66,83,73,60
15,69,91,90,13
71,73,90,11,45
24,81,89,5,41
73,33,89,2,71
20,81,32,95,44
77,35,73,99,34
95,83,11,78,46
39,47,30,64,53
3,25,47,93,9
51,28,53,69,3
61,47,34,7,59
20,40,96,13,49
45,53,14,86,39
47,16,37,81,67
36,44,81,3,54
84,20,90,51,9
82,58,21,73,24
9,58,16,61,65
74,29,50,62,9
66,41,84,80,43
53,7,1,84,21
83,18,16,48,93
1,74,60,41,71
64,57,2,13,52
94,20,7,70,19
9,52,73,42,55
6,9,20,27,74
39,59,40,60,70
55,23,80,15,12
20,65,19,13,31
38,98,21,76,2
41,54,48,3,51
93,43,11,25,16
95,7,78,82,42
16,11,72,55,20
33,37,81,3,27
43,45,63,53,36
3,93,9,98,69
42,30,2,80,80
79,39,74,92,49
74,5,37,20,84
92,18,12,14,67
51,32,83,69,11
18,83,30,12,64
47,82,25,80,94
54,96,25,36,28
18,84,11,44,24
99,38,81,45,87
46,26,87,36,85
17,76,19,82,84
50,23,9,39,24
11,44,37,51,7
94,45,62,43,16
51,43,36,96,15
99,14,81,34,16
52,59,41,23,68
29,2,63,49,63
94,48,15,69,15
78,28,79,5,87
90,74,67,19,76
5,56,6,53,23
72,63,92,77,36
37,76,56,46,28
96,21,7,15,36
58,71,1,74,37
99,68,37,95,51
71,66,79,42,10
24,80,62,47,86
13,59,39,15,82
12,51,28,19,66
36,72,4,79,69
83,1,21,79,7
68,96,60,12,96
71,50,89,2,24
13,68,5,43,29
79,37,25,19,20
82,50,8,11,41
12,18,85,26,32
48,72,37,94,81
42,95,86,11,99
77,81,30,59,27
62,13,68,22,88
79,68,67,77,83
8,45,8,98,15
9,40,71,33,8
12,4,10,36,24
11,46,90,82,37
44,65,46,85,7
82,85,37,6,57
76,7,71,45,29
98,8,54,5,89
59,64,33,22,41
44,55,11,69,8
71,94,78,73,32
65,54,20,97,92
58,97,29,97,11
97,67,22,64,45
12,10,12,54,39
16,9,32,33,22
47,71,96,15,50
75,13,6,67,37
77,78,60,72,67
71,82,88,37,29
21,14,71,87,31
53,56,37,88,17
36,86,53,33,91
57,75,53,46,24
62,32,20,81,18
39,83,61,26,45
87,39,33,51,4
11,67,25,48,7
69,84,43,92,55
75,52,75,81,25
21,20,28,23,39
72,6,16,31,10
31,65,41,62,84
10,97,56,65,68
8,9,38,54,60
8,34,95,77,73
73,62,79,24,58
80,11,26,82,25
5,69,50,73,18
77,28,8,14,83
20,46,1,65,69
61,88,83,81,45
95,74,77,76,34
13,31,10,50,56
2,91,36,94,24
39,18,16,17,43
55,75,97,19,86
19,74,48,93,63
67,98,21,70,7
44,67,20,86,3
68,34,86,1,82
76,97,46,42,92
73,56,76,83,22
49,46,24,48,55
52,2,33,40,59
49,60,39,18,29
93,76,50,94,58
82,15,1,89,11
95,72,40,42,26
71,24,92,40,44
45,99,71,43,54
99,54,15,99,83
42,28,95,15,18
72,38,42,65,38
25,89,64,36,8
2,34,24,62,98
20,29,68,19,93
89,52,96,26,83
3,71,61,21,23
87,77,59,32,37
33,49,93,8,33
87,12,74,97,29
61,53,34,20,76
53,84,74,24,21
84,16,62,76,99
36,65,61,52,33
61,82,30,37,28
55,17,87,1,63
65,12,33,6,55
36,17,39,86,96
36,70,44,59,12
98,3,76,87,49
56,5,17,85,28
44,94,34,58,4
10,81,56,45,14
74,44,52,1,86
29,68,81,75,82
51,31,14,79,99
69,6,48,34,39
68,42,79,64,40
44,96,22,6,61
93,32,72,66,63
95,54,89,58,59
60,25,55,53,80
66,98,43,53,80
35,97,25,87,57
95,58,12,66,5
51,81,81,4,56
85,19,30,53,33
2,39,28,84,17
67,7,87,23,57
81,31,5,81,88
93,44,36,15,66
64,20,11,6,82
10,99,62,88,68
78,63,49,50,44
56,29,20,60,93
76,39,36,99,60
36,27,12,83,49
